title,creators,title_screen,abstract_screen,reason
"Towards Understanding Docker Build Faults in Practice: Symptoms, Root Causes, and Fix Patterns","Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Ding, Bo ; Wang, Huaimin",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Dockerfile Flakiness: Characterization and Repair,"Shabani, Taha ; Nashid, Noor ; Alian, Parsa ; Mesbah, Ali",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Mining and measuring the impact of change patterns for improving the size and build time of docker images,"Rosa, Giovanni ; Guglielmi, Emanuela ; Iannone, Mattia ; Scalabrino, Simone ; Oliveto, Rocco",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Shipwright: A Human-in-the-Loop System for Dockerfile Repair,"Henkel, Jordan ; Silva, Denini ; Teixeira, Leopoldo ; d'Amorim, Marcelo ; Reps, Thomas",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
FlaPy: Mining Flaky Python Tests at Scale,"Gruber, Martin ; Fraser, Gordon",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Empirically evaluating flaky test detection techniques combining test case rerunning and machine learning models,"Parry, Owain ; Kapfhammer, Gregory M. ; Hilton, Michael ; McMinn, Phil",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Automating Dockerfile Refactoring to Multi-stage Builds,"Chen, Dongjin ; Yang, Wenhua ; Pan, Minxue ; Zhou, Yu",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
A container-based infrastructure for fuzzy-driven root causing of flaky tests,"Terragni, Valerio ; Salza, Pasquale ; Ferrucci, Filomena",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Fixing Dockerfile smells: an empirical study,"Rosa, Giovanni ; Zappone, Federico ; Scalabrino, Simone ; Oliveto, Rocco",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
"Learning from, understanding, and supporting DevOps artifacts for docker","Henkel, Jordan ; Bird, Christian ; Lahiri, Shuvendu K. ; Reps, Thomas",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Repairing Docker Smells with Large Language Models: An Empirical Study,"Zhang, Chenhui ; Wang, Haiyan ; Zhu, Junyi ; Gu, Zhaoquan ; Wang, Le",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
An Empirical Study of Build Failures in the Docker Context,"Wu, Yiwen ; Zhang, Yang ; Wang, Tao ; Wang, Huaimin",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
Empirical Study of the Docker Smells Impact on the Image Size,"Durieux, Thomas",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
"CREDO: a friendly Customizable, REproducible, DOcker file generator for bioinformatics applications","Alessandri, Simone ; Ratto, Maria L. ; Rabellino, Sergio ; Piacenti, Gabriele ; Contaldo, Sandro Gepiro ; Pernice, Simone ; Beccuti, Marco ; Calogero, Raffaele A. ; Alessandri, Luca",PASS,FAIL,"Docker/Dockerfile is used only as a packaging/deployment vehicle for bioinformatics tools; the study does not investigate Dockerfile build quality, flakiness, or reproducibility as its object of study."
Doctor: Optimizing Container Rebuild Efficiency by Instruction Re-orchestration,"Zhu, Zhiling ; Chen, Tieming ; Liu, Chengwei ; Liu, Han ; Song, Qijie ; Xu, Zhengzi ; Liu, Yang",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
An empirical analysis of the Docker container ecosystem on GitHub,"Cito, Jürgen ; Schermann, Gerald ; Wittern, Erik ; Leitner, Philipp ; Sali Zumberi ; Gall, Harald C",PASS,PASS,Title/description indicate Dockerfile or Docker build relevance
TraceMOP: An Explicit-Trace Runtime Verification Tool for Java,"Guan, Kevin ; Legunsen, Owolabi",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
Zero-consistency root emulation for unprivileged container image build,"Priedhorsky, Reid ; Jennings, Michael ; Phinney, Megan",FAIL,,"Title does not indicate relevance to Dockerfiles, Docker builds, flakiness, build reliability, static analysis, repair, or refactoring (heuristic, title-only)"
